,Run Information,,,,,,,,,Bins,,,,,
Run Number(s),# Runs,Sample,Phase Shifter,Harmonics,Ref,SLU,Scan Range,Good Data?,Notes,"Total         Grouped by State (X,B,C)",X State,A State,B State,C State,Other
1517-1541,25,CO2,6,"8,10,12",8,ON,"2.10:0.55:-0.125, 0.6625:2.0375:0.125",GOOD,,"bins = [[5833,5861],[6230,6295],[5933,5980],[6700,6900],[6005,6055],[7300,7550]]","[[5833,5861],[6230,6295]]",,"[[5933,5980],[6700,6900]]","[[6005,6055],[7300,7550]]",
1542-1566,25,CO2,6,"8,10,12",8,ON,"2.10:0.55:-0.125, 0.6625:2.0375:0.125",GOOD,,"bins = [[5833,5861],[6230,6295],[5933,5980],[6700,6900],[6005,6055],[7300,7550]]","[[5833,5861],[6230,6295]]",,"[[5933,5980],[6700,6900]]","[[6005,6055],[7300,7550]]",
1567,1,He,x,"8,10,12",x,OFF,,,,,,,,,
1569-1593,25,He,6,"8,10,12",8,ON,"2.10:0.55:-0.125, 0.6625:2.0375:0.126",GOOD,,,,,,,
1594,1,CO2,x,"8,10,12",x,OFF,,,,,,,,,
1596-1602,6,CO2,6,"8,10,12",8,ON,,,,,,,,,
1603-1625,22,CO2,6,"8,10,12",8,ON,,,,,,,,,
1625-1650,25,CO2,6,"8,10,12",8,ON,,,,,,,,,
1651-1675,25,CO2,6,"8,10,12",8,ON,,,,,,,,,
1675-1701,25,CO2,4,"8,10,12",12,ON,,,,,,,,,
1702-1726,24,CO2,4,"8,10,12",12,ON,,,,,,,,,
1727,1,Ne,x,"9,11,13",x,OFF,,,,,,,,,
1730,1,Ne,x,"9,11,13",x,OFF,,,,,,,,,
1731-1755,24,Ne,6,"9,11,13",9,ON,,,,,,,,,
1756,1,Ne,x,"9,11,13",x,OFF,,,,,,,,,
1757-1781,24,Ne,6,"9,11,13",9,ON,,,,,,,,,
1782,1,He,x,"9,11,13",x,OFF,,,,,,,,,
1783-1807,24,He,6,"9,11,13",9,ON,,,,,,,,,
1808,1,He,x,"9,11,13",x,OFF,,,,,,,,,
